y_test,y_predicted
17.74338888888889,17.62
16.758277777777778,16.84
19.0175,18.92
15.7305,16.06
20.625611111111112,19.7
17.908333333333335,17.88
17.195333333333334,17.1
19.822833333333335,19.09
16.03661111111111,15.97
17.17538888888889,17.1
16.38072222222222,16.49
20.279722222222222,20.48
17.890444444444444,17.88
15.880666666666665,15.97
17.35461111111111,17.36
17.763833333333334,17.62
15.938,15.97
17.911,17.88
21.60961111111111,21.0
17.78027777777778,17.7
20.87038888888889,20.92
16.81972222222222,17.01
18.5595,17.79
15.8355,16.06
17.427777777777777,17.27
18.028055555555554,17.88
16.06411111111111,16.06
15.693277777777777,16.06
19.174,19.18
15.874833333333335,15.97
15.858444444444444,15.97
18.11583333333333,17.79
17.52583333333333,17.62
15.835833333333333,16.06
17.458166666666667,17.27
18.019333333333336,17.88
16.0375,15.97
15.973666666666666,16.06
15.877333333333334,16.06
15.874777777777776,16.06
18.34711111111111,18.75
19.529444444444444,19.01
21.359944444444444,21.26
17.11461111111111,17.18
18.53633333333333,18.14
16.15372222222222,17.36
18.18177777777778,17.62
15.882055555555556,16.58
18.31088888888889,16.14
19.391111111111112,19.01
17.6785,17.53
17.22361111111111,17.18
17.596111111111114,17.36
20.429,19.18
16.428,16.92
17.728333333333335,17.62
16.423166666666667,16.49
17.628888888888888,17.36
18.397499999999997,18.05
21.732722222222222,21.96
20.77861111111111,19.44
15.896055555555556,16.06
17.30638888888889,17.27
18.854888888888887,18.14
19.357666666666667,19.44
17.034777777777776,17.53
17.897333333333332,17.97
20.03322222222222,19.35
18.92233333333333,18.75
17.1055,16.75
19.885944444444444,19.87
18.4185,18.49
17.133388888888888,17.62
17.539277777777777,17.97
18.198055555555555,17.97
17.620555555555555,17.7
16.36311111111111,16.06
17.910722222222223,17.88
15.79738888888889,15.97
18.46366666666667,18.31
19.153055555555554,18.92
17.367666666666665,17.36
19.819499999999998,19.7
15.79027777777778,16.32
17.512166666666666,17.62
16.325222222222223,16.06
15.903388888888891,16.06
15.96572222222222,15.97
17.94011111111111,17.7
18.000222222222224,17.97
15.66638888888889,15.97
21.83427777777778,21.35
21.238166666666665,19.09
17.740666666666666,17.7
17.56561111111111,17.44
21.60961111111111,21.0
17.86338888888889,17.88
15.887500000000001,16.06
15.838555555555555,15.97
17.66638888888889,17.7
17.925444444444445,17.88
17.22361111111111,17.18
16.158277777777776,16.06
17.8215,17.79
19.822833333333335,19.18
17.997722222222222,18.4
20.274055555555556,20.4
17.617611111111113,17.7
17.381,17.27
20.621222222222222,20.4
18.133666666666667,18.05
18.64172222222222,18.83
15.776944444444446,16.06
15.728944444444444,15.97
17.749499999999998,17.62
17.76522222222222,16.75
21.564444444444447,21.09
17.58683333333333,17.44
17.027722222222224,17.18
15.751888888888889,16.06
17.862444444444446,17.88
17.320944444444443,22.13
17.93972222222222,17.7
15.855666666666666,16.06
19.347055555555556,19.27
18.017722222222222,17.88
17.832,17.62
15.970944444444447,17.18
17.488,17.44
16.35988888888889,16.06
17.346666666666668,17.18
17.60422222222222,17.53
16.90238888888889,17.18
17.788444444444444,17.62
16.333055555555557,16.32
17.831055555555555,17.62
17.213555555555555,17.62
18.03066666666667,17.79
20.87088888888889,20.05
18.816,18.66
17.47088888888889,17.62
15.932,16.06
17.618555555555556,18.23
17.672944444444443,17.53
17.935722222222225,17.88
17.634777777777778,17.7
15.753499999999999,16.06
20.670944444444444,20.92
17.402333333333335,17.18
16.386777777777777,16.66
16.109166666666667,16.58
18.31088888888889,16.4
17.798833333333334,17.36
15.877333333333334,16.06
26.122055555555555,21.61
16.35227777777778,16.06
20.796833333333336,20.92
18.3375,18.05
17.61561111111111,17.7
17.922,17.88
21.772444444444446,21.35
18.083944444444445,17.97
17.231166666666667,17.18
15.829833333333333,16.06
16.235166666666668,16.06
16.879277777777776,16.06
16.605444444444444,16.75
17.82772222222222,18.05
15.931166666666668,16.06
15.749055555555556,16.06
19.14311111111111,17.7
17.883111111111113,17.7
17.567333333333334,17.62
17.39927777777778,17.44
20.429,19.09
15.865666666666666,15.97
15.54138888888889,16.06
15.935944444444443,17.18
17.507777777777775,17.44
18.982444444444447,18.66
18.226777777777777,17.36
21.28338888888889,20.92
15.989333333333333,16.14
18.019444444444446,17.97
16.104,15.97
21.559,21.52
15.879222222222223,15.97
20.951555555555554,20.22
18.81377777777778,18.49
15.767722222222224,15.97
21.680444444444444,21.44
17.591055555555556,17.62
17.997722222222222,17.97
16.744722222222222,17.1
15.798777777777778,16.06
17.920277777777777,17.88
19.244500000000002,19.01
17.466722222222224,17.36
16.722388888888887,16.84
18.154611111111112,17.79
17.874333333333333,17.7
17.225,17.01
17.868555555555556,17.88
21.977555555555554,21.09
19.524944444444444,18.83
21.313333333333333,20.66
18.202444444444446,18.49
17.436666666666667,17.62
18.319944444444445,18.14
17.675055555555556,17.7
17.64161111111111,17.7
16.356944444444444,16.06
17.618555555555556,18.23
16.932055555555554,17.1
21.6685,21.18
19.12172222222222,18.92
18.397499999999997,17.88
15.977500000000001,16.06
15.847277777777776,16.06
17.98122222222222,17.62
17.93972222222222,17.79
17.152611111111113,16.92
15.895833333333334,16.06
17.987055555555557,17.88
16.311500000000002,16.06
15.906166666666666,16.06
18.39638888888889,18.14
17.171277777777775,17.1
17.554666666666666,17.62
17.756222222222224,17.62
17.883555555555557,18.05
17.766888888888886,17.62
15.82888888888889,16.06
17.327444444444446,17.36
18.3645,18.66
16.92227777777778,17.01
17.55761111111111,17.7
22.022499999999997,21.78
16.11327777777778,16.66
15.825833333333334,17.36
26.204833333333333,20.48
17.672944444444443,17.53
19.55816666666667,19.35
17.580333333333336,17.53
17.2215,17.27
20.377444444444443,20.4
17.750666666666667,17.7
15.802833333333334,15.97
17.527277777777776,17.62
17.771444444444445,17.62
16.411388888888887,16.32
20.893555555555555,20.66
17.084166666666665,16.84
19.939,19.7
17.67672222222222,17.7
15.847388888888888,16.06
18.886666666666667,17.79
17.290499999999998,19.96
15.960833333333333,17.1
17.878,17.97
16.136499999999998,16.06
17.01422222222222,16.84
17.993166666666667,17.88
17.95211111111111,17.88
15.869999999999997,17.53
15.802166666666668,15.97
19.3725,19.35
18.125555555555554,18.05
18.05927777777778,18.05
17.750444444444444,17.88
16.452944444444444,15.97
16.495833333333334,17.79
15.956000000000001,16.06
17.741777777777777,17.7
17.84916666666667,17.88
20.607777777777777,19.44
15.864833333333333,16.14
15.809833333333334,16.06
17.709777777777777,17.7
21.0955,19.96
17.758611111111108,17.7
16.322222222222223,16.66
20.796833333333336,21.0
17.432111111111112,20.66
19.119666666666667,18.83
18.33211111111111,17.7
17.459833333333332,17.36
18.847277777777776,18.31
